,farm,sim_id,T_nominal,R_recovery,beta_eff,R0,mean_S,mean_I,total_new_E
153,Farm2,53,0.01,0.08,0.0001333136029041059,0.0016664200363013238,506.43013698630136,3.989041095890411,100
154,Farm2,54,0.01,0.08,0.00016039821519704128,0.0020049776899630158,517.3479452054795,1.9342465753424658,60
155,Farm2,55,0.15,0.08,0.00010431920884163119,0.0013039901105203898,515.4849315068493,2.706849315068493,53
156,Farm2,56,0.01,0.04,7.271779450339497e-05,0.0018179448625848743,508.93698630136987,5.657534246575342,77
157,Farm2,57,0.15,0.0458511220184983,8.798187182409882e-05,0.0019188597345252134,483.5972602739726,8.558904109589042,135
158,Farm2,58,0.01,0.08,0.00011125217591489892,0.0013906521989362364,510.23561643835615,3.208219178082192,68
159,Farm2,59,0.01,0.0598435482749284,9.736710492910537e-05,0.001627027603406624,510.1616438356164,3.547945205479452,66
160,Farm2,60,0.01,0.08,0.00013936338796517416,0.001742042349564677,504.07397260273973,2.6082191780821917,70
161,Farm2,61,0.01,0.08,0.00015268523213353774,0.0019085654016692216,503.1205479452055,2.23013698630137,64
162,Farm2,62,0.01,0.0608882807973008,0.00010561149048307591,0.001734512604070071,515.5232876712329,3.126027397260274,63
163,Farm2,63,0.01,0.08,0.00013192084742584792,0.001649010592823099,508.4849315068493,2.578082191780822,66
164,Farm2,64,0.01,0.04,7.926442612555485e-05,0.001981610653138871,486.2328767123288,11.205479452054794,160
165,Farm2,65,0.01,0.08,0.00019529554692991326,0.0024411943366239156,547.9917808219178,0.9260273972602739,36
166,Farm2,66,0.01,0.04,8.665906499429875e-05,0.002166476624857469,483.386301369863,9.775342465753425,152
167,Farm2,67,0.01,0.04,6.939217788033895e-05,0.0017348044470084736,501.65205479452055,5.019178082191781,65
168,Farm2,68,0.01,0.04,8.442893953874781e-05,0.0021107234884686953,479.2958904109589,9.882191780821918,150
169,Farm2,69,0.01,0.04,8.537681856389375e-05,0.0021344204640973436,507.05479452054794,3.9342465753424656,64
170,Farm2,70,0.01,0.08,0.00016074627083420803,0.0020093283854276003,517.8684931506849,2.0493150684931507,63
171,Farm2,71,0.01,0.04,8.5796111593897e-05,0.0021449027898474246,478.5671232876712,10.676712328767124,163
172,Farm2,72,0.1052819501827621,0.0506817937741403,9.255837566958041e-05,0.0018262647940611577,462.1972602739726,8.336986301369864,134
173,Farm2,73,0.01,0.04,8.870087336244542e-05,0.0022175218340611353,479.52054794520546,9.830136986301369,156
174,Farm2,74,0.15,0.0657206534279646,0.00010570000628721799,0.001608322510108244,484.96712328767126,5.1068493150684935,99
175,Farm2,75,0.01,0.04,8.826286357273279e-05,0.00220657158931832,462.7013698630137,11.717808219178082,179
176,Farm2,76,0.01,0.04,0.0001000682283061614,0.002501705707654035,510.92328767123286,4.104109589041096,77
177,Farm2,77,0.01,0.0792004059063766,0.00013494448868788087,0.0017038358218441428,500.0904109589041,3.0082191780821916,77
178,Farm2,78,0.01,0.08,0.00014246669011324655,0.0017808336264155818,512.7232876712329,2.3917808219178083,65
179,Farm2,79,0.01,0.04,8.530220293405566e-05,0.0021325550733513913,513.9589041095891,4.66027397260274,75
180,Farm2,80,0.01,0.04,8.749103545380639e-05,0.00218727588634516,509.73424657534247,4.068493150684931,66
181,Farm2,81,0.1275377448303341,0.0661722776822233,0.00011981496402078182,0.001810651956037615,468.17808219178085,6.558904109589041,138
182,Farm2,82,0.1240244101646888,0.0727722280770121,0.00012251508763789126,0.0016835417971295063,521.7315068493151,2.175342465753425,50
183,Farm2,83,0.1297242565279653,0.0617041557127409,9.371697122825576e-05,0.0015188113368659988,514.2739726027397,3.063013698630137,54
184,Farm2,84,0.1273506081989984,0.0781747518699423,9.82237536497189e-05,0.0012564639004308156,503.08493150684933,2.66027397260274,49
185,Farm2,85,0.1027280028907648,0.043089083577503,8.660247586183089e-05,0.0020098472437006395,466.2931506849315,9.356164383561644,143
